Name,Age,last_3_yr_avg,predicted_minutes
Ty Jerome,23.0,558.0,857.7842521258908
Hassan Whiteside,31.0,1409.3333333333333,1147.9395157195559
Andre Drummond,27.0,1922.6666666666667,1743.1215563976084
Kent Bazemore,31.0,1554.6666666666667,1262.5128977568475
Austin Rivers,28.0,1489.0,1353.6168307552537
Cory Joseph,29.0,1756.0,1516.4819423660792
Tony Snell,29.0,1312.3333333333333,1166.7177875687514
Cody Zeller,28.0,1196.3333333333333,1122.8933687627264
Ben McLemore,27.0,894.0,932.1732606015505
Victor Oladipo,28.0,918.3333333333334,903.7323581684581
Dewayne Dedmon,31.0,864.3333333333334,718.2893330797133
Otto Porter,27.0,873.3333333333334,915.8807154494586
Solomon Hill,29.0,1159.6666666666667,1046.3631798323308
Willy Hernangómez,26.0,677.6666666666666,809.2511629119825
Nassir Little,20.0,606.5,1038.8913579402888
R.J. Hampton,19.0,888.0,1308.4356503257088
Jabari Parker,25.0,935.3333333333334,1060.006471775232
Monta Ellis,31.0,2477.0,1989.6334209155293
Elfrid Payton,26.0,1326.6666666666667,1320.8896372849329
Rodney Hood,28.0,1151.3333333333333,1087.417665608978
Dylan Windler,24.0,513.0,774.6844885373933
Immanuel Quickley,21.0,1243.0,1493.0514098913377
John Konchar,24.0,378.0,668.2573790761479
Jordan Poole,21.0,1131.0,1404.7563264864527
Bol Bol,21.0,123.5,610.4947503219728
Keldon Johnson,21.0,1134.5,1407.5155478428553
Payton Pritchard,23.0,1268.0,1417.5120129961447
Kevin Porter Jr.,20.0,998.5,1347.9241498573867
Gary Clark,26.0,620.6666666666666,764.3152722505678
Raul Neto,28.0,848.3333333333334,848.5479310404049
Frank Kaminsky,27.0,749.0,817.8626615505832
Nemanja Bjelica,32.0,1464.6666666666667,1143.9374310146013
Stanley Johnson,24.0,788.0,991.4804522547452
Udoka Azubuike,21.0,57.0,558.0695445503222
Jaden McDaniels,20.0,1511.0,1751.9529913306333
Malachi Flynn,22.0,928.0,1197.0974273803495
Desmond Bane,22.0,1519.0,1663.011662132913
Abdel Nader,27.0,638.6666666666666,730.8814930773184
Théo Maledon,19.0,1778.0,2010.0662238109567
Kenrich Williams,26.0,1112.3333333333333,1151.9201770785603
Damian Jones,25.0,614.6666666666666,807.2092389314837
Gary Payton II,28.0,162.66666666666666,308.00332817180765
Rodney McGruder,29.0,871.6666666666666,819.3186796483404
DeAndre' Bembry,26.0,1272.6666666666667,1278.3187935004348
Quinn Cook,27.0,574.6666666666666,680.4271597030983
Timothé Luwawu-Cabarrot,25.0,857.3333333333334,998.5152529754015
Damion Lee,28.0,959.0,935.7918824999937
Larry Sanders,28.0,394.3333333333333,490.6375036670313
Shake Milton,24.0,844.6666666666666,1036.1535599298359
Wesley Iwundu,26.0,908.3333333333334,991.096989448234
Mitchell Robinson,22.0,1208.3333333333333,1418.0979188788863
Jalen Brunson,24.0,1436.6666666666667,1502.8561436413715
Semi Ojeleye,26.0,851.6666666666666,946.4238817731433
Malik Monk,22.0,1101.6666666666667,1334.0073632551864
Frank Ntilikina,22.0,804.3333333333334,1099.6049394541224
Tony Bradley,23.0,461.0,781.3144031055886
Sam Dekker,24.0,1030.0,1182.2609003260147
Marquese Chriss,23.0,574.0,870.3978354694458
Dennis Smith Jr.,23.0,821.6666666666666,1065.6455943082244
Chasson Randle,27.0,540.0,653.0977291253957
Shaquille Harrison,27.0,749.0,817.8626615505832
D.J. Wilson,24.0,559.3333333333334,811.2113236364381
Harry Giles,22.0,611.6666666666666,947.7163733588139
Jared Cunningham,24.0,193.0,522.412821666293
Tarik Black,26.0,707.6666666666666,832.9016316811482
Denzel Valentine,27.0,1206.3333333333333,1178.4009187871973
Ryan Arcidiacono,26.0,1113.6666666666667,1152.9713090238567
Didi Louzada,21.0,56.0,557.2811955913501
Terance Mann,24.0,812.5,1010.7950017495638
Eric Paschall,24.0,1174.5,1296.177324897496
KZ Okpala,21.0,236.5,699.57818268583
Cody Martin,25.0,876.0,1013.2311002095489
Nicolas Claxton,21.0,390.5,820.983922367547
Bruno Fernando,22.0,469.5,835.6394296916012
Luguentz Dort,21.0,1181.5,1444.5679489145482
Daniel Gafford,22.0,700.0,1017.3538647346907
Miye Oni,23.0,314.0,665.4271061366768
Isaiah Roby,22.0,718.0,1031.54414599619
Naz Reid,21.0,921.0,1239.2030451022931
Jaylen Nowell,21.0,455.0,871.8324302212533
Mychal Mulder,26.0,485.0,657.3625968166742
Vlatko Čančar,23.0,163.0,546.3864133318764
Dean Wade,24.0,641.5,875.9873297653195
Jalen McDaniels,23.0,598.5,889.7123849642644
Drew Eubanks,23.0,380.0,717.4581374288413
Chimezie Metu,23.0,246.0,611.819376926568
Yuta Watanabe,26.0,334.0,538.3219040118737
Keita Bates-Diop,25.0,497.3333333333333,714.7096277454135
Moritz Wagner,23.0,667.6666666666666,944.2398546265075
Thanasis Antetokounmpo,28.0,228.66666666666666,360.0343594639721
Isaac Bonga,21.0,600.6666666666666,986.6685952448687
Scotty Hopson,28.0,7.5,185.67784803795644
Brandon Goodwin,25.0,369.0,613.5381780106494
Wayne Selden,24.0,789.0,992.2688012137173
Isaiah Hartenstein,22.0,348.6666666666667,740.3805971491284
Brad Wanamaker,31.0,921.6666666666666,763.488006727452
